Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 16:22:28,2018-01-02 16:23:01,33.202s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 16:22:28,2018-01-02 16:22:43,15.221s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:22:30,2018-01-02 16:22:36,5.551s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:22:36,2018-01-02 16:22:41,5.577s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:41,2018-01-02 16:22:41,0.209s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:41,2018-01-02 16:22:42,0.118s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:22:42,2018-01-02 16:22:42,0.864s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:22:42,2018-01-02 16:22:43,0.845s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 16:22:43,2018-01-02 16:23:00,17.148s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:22:44,2018-01-02 16:22:48,4.396s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:22:48,2018-01-02 16:22:56,7.949s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:56,2018-01-02 16:22:56,0.408s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:56,2018-01-02 16:22:56,0.141s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:22:56,2018-01-02 16:22:58,1.606s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 16:22:58,2018-01-02 16:22:59,0.594s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:59,2018-01-02 16:22:59,0.226s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:59,2018-01-02 16:22:59,0.203s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:22:59,2018-01-02 16:22:59,0.173s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:22:59,2018-01-02 16:22:59,0.168s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:22:59,2018-01-02 16:23:00,1.027s,PASSED
